start_id,type,end_id
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_6
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_7
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_8
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_9
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_10
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_11
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_2
nsw_legislation:2022-11-25/act-1997-078_part_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_2_section_12
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_1
nsw_legislation:2022-11-25/act-1997-078_part_3_division_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_13
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_1
nsw_legislation:2022-11-25/act-1997-078_part_3_division_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_14
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_1
nsw_legislation:2022-11-25/act-1997-078_part_3_division_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_15
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_1
nsw_legislation:2022-11-25/act-1997-078_part_3_division_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_16
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_1
nsw_legislation:2022-11-25/act-1997-078_part_3_division_1,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_17
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_18
nsw_legislation:2022-11-25/act-1997-078,HAS_PART,nsw_legislation:2022-11-25/act-1997-078_part_3
nsw_legislation:2022-11-25/act-1997-078_part_3,HAS_DIVISION,nsw_legislation:2022-11-25/act-1997-078_part_3_division_2
nsw_legislation:2022-11-25/act-1997-078_part_3_division_2,HAS_SECTION,nsw_legislation:2022-11-25/act-1997-078_part_3_section_19
